Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
city/none/normalized/uh3023/Array,,,,,,,,,,,,,,,,
選挙回,都道府県コード,都道府県名,JISコード,市区町村名,有権者数,投票者数,有効投票数,定数,候補者数,市区町村別得票数,得票総数,順位,名前,年齢,党派・会派等,現新
uh3023,28,兵庫県,28111,西区,199272,101434,99033,50,12,30595,,1,,0,自由民主党,
uh3023,28,兵庫県,28111,西区,199272,101434,99033,50,12,476,,11,,0,みどりの風,
uh3023,28,兵庫県,28111,西区,199272,101434,99033,50,12,8066,,6,,0,みんなの党,
uh3023,28,兵庫県,28111,西区,199272,101434,99033,50,12,13268,,2,,0,公明党,
uh3023,28,兵庫県,28111,西区,199272,101434,99033,50,12,315,,12,,0,幸福実現党,
uh3023,28,兵庫県,28111,西区,199272,101434,99033,50,12,320,,9,,0,新党大地,
uh3023,28,兵庫県,28201,姫路市,426584,208585,194375,50,12,574,,11,,0,みどりの風,
uh3023,28,兵庫県,28201,姫路市,426584,208585,194375,50,12,15140,,6,,0,みんなの党,
uh3023,28,兵庫県,28201,姫路市,426584,208585,194375,50,12,33238,,2,,0,公明党,
uh3023,28,兵庫県,28201,姫路市,426584,208585,194375,50,12,928,,12,,0,幸福実現党,
uh3023,28,兵庫県,28201,姫路市,426584,208585,194375,50,12,454,,9,,0,新党大地,
uh3023,28,兵庫県,28201,姫路市,426584,208585,194375,50,12,15289,,5,,0,日本共産党,
uh3023,28,兵庫県,28201,姫路市,426584,208585,194375,50,12,33927,,4,,0,日本維新の会,
uh3023,28,兵庫県,28201,姫路市,426584,208585,194375,50,12,28891,,3,,0,民主党,
uh3023,28,兵庫県,28201,姫路市,426584,208585,194375,50,12,1578,,8,,0,生活の党,
uh3023,28,兵庫県,28201,姫路市,426584,208585,194375,50,12,2144,,7,,0,社会民主党,
uh3023,28,兵庫県,28201,姫路市,426584,208585,194375,50,12,1434,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28201,姫路市,426584,208585,194375,50,12,60778,,1,,0,自由民主党,
uh3023,28,兵庫県,28202,尼崎市,378554,184248,179443,50,12,2060,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28202,尼崎市,378554,184248,179443,50,12,39001,,1,,0,自由民主党,
uh3023,28,兵庫県,28202,尼崎市,378554,184248,179443,50,12,872,,11,,0,みどりの風,
uh3023,28,兵庫県,28202,尼崎市,378554,184248,179443,50,12,11045,,6,,0,みんなの党,
uh3023,28,兵庫県,28202,尼崎市,378554,184248,179443,50,12,44053,,2,,0,公明党,
uh3023,28,兵庫県,28202,尼崎市,378554,184248,179443,50,12,472,,12,,0,幸福実現党,
uh3023,28,兵庫県,28202,尼崎市,378554,184248,179443,50,12,554,,9,,0,新党大地,
uh3023,28,兵庫県,28202,尼崎市,378554,184248,179443,50,12,21016,,5,,0,日本共産党,
uh3023,28,兵庫県,28202,尼崎市,378554,184248,179443,50,12,42770,,4,,0,日本維新の会,
uh3023,28,兵庫県,28202,尼崎市,378554,184248,179443,50,12,12983,,3,,0,民主党,
uh3023,28,兵庫県,28202,尼崎市,378554,184248,179443,50,12,1451,,8,,0,生活の党,
uh3023,28,兵庫県,28202,尼崎市,378554,184248,179443,50,12,3167,,7,,0,社会民主党,
uh3023,28,兵庫県,28203,明石市,238456,121900,119114,50,12,11744,,5,,0,日本共産党,
uh3023,28,兵庫県,28203,明石市,238456,121900,119114,50,12,24289,,4,,0,日本維新の会,
uh3023,28,兵庫県,28203,明石市,238456,121900,119114,50,12,14339,,3,,0,民主党,
uh3023,28,兵庫県,28203,明石市,238456,121900,119114,50,12,1099,,8,,0,生活の党,
uh3023,28,兵庫県,28203,明石市,238456,121900,119114,50,12,1925,,7,,0,社会民主党,
uh3023,28,兵庫県,28203,明石市,238456,121900,119114,50,12,1060,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28203,明石市,238456,121900,119114,50,12,35457,,1,,0,自由民主党,
uh3023,28,兵庫県,28203,明石市,238456,121900,119114,50,12,572,,11,,0,みどりの風,
uh3023,28,兵庫県,28203,明石市,238456,121900,119114,50,12,8718,,6,,0,みんなの党,
uh3023,28,兵庫県,28203,明石市,238456,121900,119114,50,12,19111,,2,,0,公明党,
uh3023,28,兵庫県,28203,明石市,238456,121900,119114,50,12,408,,12,,0,幸福実現党,
uh3023,28,兵庫県,28203,明石市,238456,121900,119114,50,12,392,,9,,0,新党大地,
uh3023,28,兵庫県,28204,西宮市,381417,208422,203950,50,12,1214,,11,,0,みどりの風,
uh3023,28,兵庫県,28204,西宮市,381417,208422,203950,50,12,19606,,6,,0,みんなの党,
uh3023,28,兵庫県,28204,西宮市,381417,208422,203950,50,12,24234,,2,,0,公明党,
uh3023,28,兵庫県,28204,西宮市,381417,208422,203950,50,12,671,,12,,0,幸福実現党,
uh3023,28,兵庫県,28204,西宮市,381417,208422,203950,50,12,752,,9,,0,新党大地,
uh3023,28,兵庫県,28204,西宮市,381417,208422,203950,50,12,20231,,5,,0,日本共産党,
uh3023,28,兵庫県,28204,西宮市,381417,208422,203950,50,12,47244,,4,,0,日本維新の会,
uh3023,28,兵庫県,28204,西宮市,381417,208422,203950,50,12,20821,,3,,0,民主党,
uh3023,28,兵庫県,28204,西宮市,381417,208422,203950,50,12,2032,,8,,0,生活の党,
uh3023,28,兵庫県,28204,西宮市,381417,208422,203950,50,12,3887,,7,,0,社会民主党,
uh3023,28,兵庫県,28204,西宮市,381417,208422,203950,50,12,2765,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28204,西宮市,381417,208422,203950,50,12,60493,,1,,0,自由民主党,
uh3023,28,兵庫県,28205,洲本市,39185,21121,20450,50,12,148,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28205,洲本市,39185,21121,20450,50,12,7891,,1,,0,自由民主党,
uh3023,28,兵庫県,28205,洲本市,39185,21121,20450,50,12,75,,11,,0,みどりの風,
uh3023,28,兵庫県,28205,洲本市,39185,21121,20450,50,12,1081,,6,,0,みんなの党,
uh3023,28,兵庫県,28205,洲本市,39185,21121,20450,50,12,3405,,2,,0,公明党,
uh3023,28,兵庫県,28205,洲本市,39185,21121,20450,50,12,94,,12,,0,幸福実現党,
uh3023,28,兵庫県,28205,洲本市,39185,21121,20450,50,12,51,,9,,0,新党大地,
uh3023,28,兵庫県,28205,洲本市,39185,21121,20450,50,12,1554,,5,,0,日本共産党,
uh3023,28,兵庫県,28205,洲本市,39185,21121,20450,50,12,3349,,4,,0,日本維新の会,
uh3023,28,兵庫県,28205,洲本市,39185,21121,20450,50,12,2368,,3,,0,民主党,
uh3023,28,兵庫県,28205,洲本市,39185,21121,20450,50,12,150,,8,,0,生活の党,
uh3023,28,兵庫県,28205,洲本市,39185,21121,20450,50,12,282,,7,,0,社会民主党,
uh3023,28,兵庫県,28206,芦屋市,78807,46114,43986,50,12,4196,,5,,0,日本共産党,
uh3023,28,兵庫県,28206,芦屋市,78807,46114,43986,50,12,10183,,4,,0,日本維新の会,
uh3023,28,兵庫県,28206,芦屋市,78807,46114,43986,50,12,4130,,3,,0,民主党,
uh3023,28,兵庫県,28206,芦屋市,78807,46114,43986,50,12,475,,8,,0,生活の党,
uh3023,28,兵庫県,28206,芦屋市,78807,46114,43986,50,12,643,,7,,0,社会民主党,
uh3023,28,兵庫県,28206,芦屋市,78807,46114,43986,50,12,684,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28206,芦屋市,78807,46114,43986,50,12,14860,,1,,0,自由民主党,
uh3023,28,兵庫県,28206,芦屋市,78807,46114,43986,50,12,203,,11,,0,みどりの風,
uh3023,28,兵庫県,28206,芦屋市,78807,46114,43986,50,12,4539,,6,,0,みんなの党,
uh3023,28,兵庫県,28206,芦屋市,78807,46114,43986,50,12,3817,,2,,0,公明党,
uh3023,28,兵庫県,28206,芦屋市,78807,46114,43986,50,12,142,,12,,0,幸福実現党,
uh3023,28,兵庫県,28206,芦屋市,78807,46114,43986,50,12,114,,9,,0,新党大地,
uh3023,28,兵庫県,28207,伊丹市,159201,81464,79539,50,12,345,,11,,0,みどりの風,
uh3023,28,兵庫県,28207,伊丹市,159201,81464,79539,50,12,5903,,6,,0,みんなの党,
uh3023,28,兵庫県,28207,伊丹市,159201,81464,79539,50,12,13058,,2,,0,公明党,
uh3023,28,兵庫県,28207,伊丹市,159201,81464,79539,50,12,269,,12,,0,幸福実現党,
uh3023,28,兵庫県,28207,伊丹市,159201,81464,79539,50,12,247,,9,,0,新党大地,
uh3023,28,兵庫県,28207,伊丹市,159201,81464,79539,50,12,7356,,5,,0,日本共産党,
uh3023,28,兵庫県,28207,伊丹市,159201,81464,79539,50,12,15022,,4,,0,日本維新の会,
uh3023,28,兵庫県,28207,伊丹市,159201,81464,79539,50,12,8906,,3,,0,民主党,
uh3023,28,兵庫県,28207,伊丹市,159201,81464,79539,50,12,722,,8,,0,生活の党,
uh3023,28,兵庫県,28207,伊丹市,159201,81464,79539,50,12,1417,,7,,0,社会民主党,
uh3023,28,兵庫県,28207,伊丹市,159201,81464,79539,50,12,789,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28207,伊丹市,159201,81464,79539,50,12,25505,,1,,0,自由民主党,
uh3023,28,兵庫県,28208,相生市,25720,15047,14446,50,12,113,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28208,相生市,25720,15047,14446,50,12,4786,,1,,0,自由民主党,
uh3023,28,兵庫県,28208,相生市,25720,15047,14446,50,12,42,,11,,0,みどりの風,
uh3023,28,兵庫県,28208,相生市,25720,15047,14446,50,12,784,,6,,0,みんなの党,
uh3023,28,兵庫県,28208,相生市,25720,15047,14446,50,12,2163,,2,,0,公明党,
uh3023,28,兵庫県,28208,相生市,25720,15047,14446,50,12,99,,12,,0,幸福実現党,
uh3023,28,兵庫県,28208,相生市,25720,15047,14446,50,12,39,,9,,0,新党大地,
uh3023,28,兵庫県,28208,相生市,25720,15047,14446,50,12,1053,,5,,0,日本共産党,
uh3023,28,兵庫県,28208,相生市,25720,15047,14446,50,12,2285,,4,,0,日本維新の会,
uh3023,28,兵庫県,28208,相生市,25720,15047,14446,50,12,2800,,3,,0,民主党,
uh3023,28,兵庫県,28208,相生市,25720,15047,14446,50,12,123,,8,,0,生活の党,
uh3023,28,兵庫県,28208,相生市,25720,15047,14446,50,12,160,,7,,0,社会民主党,
uh3023,28,兵庫県,28209,豊岡市,70464,39480,38115,50,12,3200,,5,,0,日本共産党,
uh3023,28,兵庫県,28209,豊岡市,70464,39480,38115,50,12,5274,,4,,0,日本維新の会,
uh3023,28,兵庫県,28209,豊岡市,70464,39480,38115,50,12,6329,,3,,0,民主党,
uh3023,28,兵庫県,28209,豊岡市,70464,39480,38115,50,12,266,,8,,0,生活の党,
uh3023,28,兵庫県,28209,豊岡市,70464,39480,38115,50,12,482,,7,,0,社会民主党,
uh3023,28,兵庫県,28209,豊岡市,70464,39480,38115,50,12,221,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28209,豊岡市,70464,39480,38115,50,12,15342,,1,,0,自由民主党,
uh3023,28,兵庫県,28209,豊岡市,70464,39480,38115,50,12,146,,11,,0,みどりの風,
uh3023,28,兵庫県,28209,豊岡市,70464,39480,38115,50,12,1991,,6,,0,みんなの党,
uh3023,28,兵庫県,28209,豊岡市,70464,39480,38115,50,12,4644,,2,,0,公明党,
uh3023,28,兵庫県,28209,豊岡市,70464,39480,38115,50,12,155,,12,,0,幸福実現党,
uh3023,28,兵庫県,28209,豊岡市,70464,39480,38115,50,12,65,,9,,0,新党大地,
uh3023,28,兵庫県,28210,加古川市,216668,112075,109604,50,12,433,,11,,0,みどりの風,
uh3023,28,兵庫県,28210,加古川市,216668,112075,109604,50,12,7345,,6,,0,みんなの党,
uh3023,28,兵庫県,28210,加古川市,216668,112075,109604,50,12,19967,,2,,0,公明党,
uh3023,28,兵庫県,28210,加古川市,216668,112075,109604,50,12,367,,12,,0,幸福実現党,
uh3023,28,兵庫県,28210,加古川市,216668,112075,109604,50,12,305,,9,,0,新党大地,
uh3023,28,兵庫県,28210,加古川市,216668,112075,109604,50,12,9210,,5,,0,日本共産党,
uh3023,28,兵庫県,28210,加古川市,216668,112075,109604,50,12,20735,,4,,0,日本維新の会,
uh3023,28,兵庫県,28210,加古川市,216668,112075,109604,50,12,15558,,3,,0,民主党,
uh3023,28,兵庫県,28210,加古川市,216668,112075,109604,50,12,924,,8,,0,生活の党,
uh3023,28,兵庫県,28210,加古川市,216668,112075,109604,50,12,1616,,7,,0,社会民主党,
uh3023,28,兵庫県,28210,加古川市,216668,112075,109604,50,12,802,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28210,加古川市,216668,112075,109604,50,12,32341,,1,,0,自由民主党,
uh3023,28,兵庫県,28211,たつの市,64826,36502,35310,50,12,201,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28211,たつの市,64826,36502,35310,50,12,14426,,1,,0,自由民主党,
uh3023,28,兵庫県,28211,たつの市,64826,36502,35310,50,12,91,,11,,0,みどりの風,
uh3023,28,兵庫県,28211,たつの市,64826,36502,35310,50,12,1964,,6,,0,みんなの党,
uh3023,28,兵庫県,28211,たつの市,64826,36502,35310,50,12,4604,,2,,0,公明党,
uh3023,28,兵庫県,28211,たつの市,64826,36502,35310,50,12,270,,12,,0,幸福実現党,
uh3023,28,兵庫県,28211,たつの市,64826,36502,35310,50,12,68,,9,,0,新党大地,
uh3023,28,兵庫県,28211,たつの市,64826,36502,35310,50,12,2165,,5,,0,日本共産党,
uh3023,28,兵庫県,28211,たつの市,64826,36502,35310,50,12,5321,,4,,0,日本維新の会,
uh3023,28,兵庫県,28211,たつの市,64826,36502,35310,50,12,5496,,3,,0,民主党,
uh3023,28,兵庫県,28211,たつの市,64826,36502,35310,50,12,252,,8,,0,生活の党,
uh3023,28,兵庫県,28211,たつの市,64826,36502,35310,50,12,451,,7,,0,社会民主党,
uh3023,28,兵庫県,28212,赤穂市,41147,21522,20839,50,12,1676,,5,,0,日本共産党,
uh3023,28,兵庫県,28212,赤穂市,41147,21522,20839,50,12,3498,,4,,0,日本維新の会,
uh3023,28,兵庫県,28212,赤穂市,41147,21522,20839,50,12,3494,,3,,0,民主党,
uh3023,28,兵庫県,28212,赤穂市,41147,21522,20839,50,12,157,,8,,0,生活の党,
uh3023,28,兵庫県,28212,赤穂市,41147,21522,20839,50,12,233,,7,,0,社会民主党,
uh3023,28,兵庫県,28212,赤穂市,41147,21522,20839,50,12,149,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28212,赤穂市,41147,21522,20839,50,12,7380,,1,,0,自由民主党,
uh3023,28,兵庫県,28212,赤穂市,41147,21522,20839,50,12,75,,11,,0,みどりの風,
uh3023,28,兵庫県,28212,赤穂市,41147,21522,20839,50,12,1216,,6,,0,みんなの党,
uh3023,28,兵庫県,28212,赤穂市,41147,21522,20839,50,12,2787,,2,,0,公明党,
uh3023,28,兵庫県,28212,赤穂市,41147,21522,20839,50,12,116,,12,,0,幸福実現党,
