Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
city/none/relation/uh3013/uh3023/有権者数/投票者数/有効投票数/投票率/自民/民主/社会/共産/公明/Relative,,,,,,,,,,,,,,,,,,,,,
都道府県コード3013,都道府県名3013,JISコード3013,市区町村名3013,有権者数3013,投票者数3013,有効投票数3013,投票率3013,自民党政党別相対得票率3013,社会党政党別相対得票率3013,共産党政党別相対得票率3013,公明党政党別相対得票率3013,有権者数3023,投票者数3023,有効投票数3023,投票率3023,自民党政党別相対得票率3023,民主党政党別相対得票率3023,社民党政党別相対得票率3023,共産党政党別相対得票率3023,公明党政党別相対得票率3023,
28,兵庫県,28422,夢前町,12494,8194,7944,0.6558,0.3656,0.1534,0.0538,0.2063,,,,,,,,,,
28,兵庫県,28441,神崎町,6271,5099,4936,0.8131,0.3991,0.1787,0.0606,0.1485,,,,,,,,,,
28,兵庫県,28442,市川町,11276,7479,7260,0.6633,0.3643,0.1680,0.0850,0.1921,11113,6679,6433,0.6010,0.3192,0.1819,0.0137,0.0815,0.1826,
28,兵庫県,28443,福崎町,12939,8271,8050,0.6392,0.3622,0.1759,0.0843,0.1744,15425,8873,8555,0.5752,0.3645,0.1571,0.0106,0.0829,0.1448,
28,兵庫県,28444,香寺町,12267,7539,7405,0.6146,0.2867,0.2008,0.0749,0.1639,,,,,,,,,,
28,兵庫県,28445,大河内町,4381,3129,3026,0.7142,0.4233,0.1695,0.0601,0.1348,,,,,,,,,,
28,兵庫県,28446,神河町,,,,,,,,,10207,7474,7222,0.7322,0.4091,0.2032,0.0154,0.0521,0.1163,
28,兵庫県,28461,新宮町,12431,7793,7525,0.6269,0.3842,0.1300,0.0625,0.2145,,,,,,,,,,
28,兵庫県,28462,揖保川町,7502,5514,5356,0.7350,0.3491,0.1322,0.0681,0.1469,,,,,,,,,,
28,兵庫県,28463,御津町,8581,5211,5057,0.6073,0.3474,0.1446,0.0577,0.1594,,,,,,,,,,
28,兵庫県,28464,太子町,18327,11647,11416,0.6355,0.3139,0.1745,0.0725,0.1799,26936,15071,14564,0.5595,0.3459,0.1721,0.0128,0.0649,0.1445,
28,兵庫県,28481,上郡町,13558,9132,8882,0.6736,0.3666,0.1360,0.0549,0.1906,13836,10289,9740,0.7436,0.3943,0.1562,0.0111,0.0583,0.1341,
28,兵庫県,28501,佐用町,7291,4989,4889,0.6843,0.4040,0.1704,0.0974,0.1716,16103,10634,10256,0.6604,0.3780,0.1661,0.0158,0.0853,0.1578,
28,兵庫県,28502,上月町,4923,3865,3749,0.7851,0.4212,0.1459,0.0573,0.2129,,,,,,,,,,
28,兵庫県,28503,南光町,3803,2885,2749,0.7586,0.3609,0.1455,0.1339,0.1837,,,,,,,,,,
28,兵庫県,28504,三日月町,2788,2203,2099,0.7902,0.4064,0.1687,0.0481,0.2144,,,,,,,,,,
28,兵庫県,28521,山崎町,19221,12720,12329,0.6618,0.3329,0.2136,0.0910,0.1880,,,,,,,,,,
28,兵庫県,28522,安富町,3549,2819,2720,0.7943,0.4243,0.1533,0.0577,0.1618,,,,,,,,,,
28,兵庫県,28523,一宮町,8972,6625,6440,0.7384,0.4118,0.1734,0.0744,0.1862,,,,,,,,,,
28,兵庫県,28524,波賀町,4133,3223,3147,0.7798,0.3629,0.2367,0.0632,0.1703,,,,,,,,,,
28,兵庫県,28525,千種町,3447,2531,2458,0.7343,0.3670,0.1648,0.0753,0.2246,,,,,,,,,,
28,兵庫県,28541,城崎町,3903,2977,2895,0.7627,0.3364,0.1513,0.0933,0.1250,,,,,,,,,,
28,兵庫県,28542,竹野町,4764,3669,3524,0.7702,0.3275,0.2520,0.0533,0.1129,,,,,,,,,,
28,兵庫県,28543,香住町,10983,7718,7475,0.7027,0.3972,0.1900,0.0496,0.0900,,,,,,,,,,
28,兵庫県,28544,日高町,14421,10943,10683,0.7588,0.2843,0.1448,0.0513,0.1253,,,,,,,,,,
28,兵庫県,28561,出石町,8283,6270,6059,0.7570,0.3562,0.1451,0.0723,0.0946,,,,,,,,,,
28,兵庫県,28562,但東町,5192,4414,4305,0.8502,0.3659,0.1668,0.0402,0.1041,,,,,,,,,,
28,兵庫県,28581,村岡町,6114,4844,4704,0.7923,0.3093,0.1605,0.0512,0.1526,,,,,,,,,,
28,兵庫県,28582,浜坂町,9400,6826,6574,0.7262,0.3333,0.2416,0.0371,0.1133,,,,,,,,,,
28,兵庫県,28583,美方町,2448,2007,1943,0.8199,0.3206,0.1307,0.0232,0.1940,,,,,,,,,,
28,兵庫県,28584,温泉町,6366,4979,4797,0.7821,0.3792,0.1814,0.0359,0.1115,,,,,,,,,,
28,兵庫県,28585,香美町,,,,,,,,,16594,11108,10617,0.6694,0.4566,0.1707,0.0118,0.0708,0.1255,
28,兵庫県,28586,新温泉町,,,,,,,,,13423,8787,8438,0.6546,0.4342,0.1773,0.0132,0.0773,0.1318,
28,兵庫県,28601,八鹿町,9446,7209,6993,0.7632,0.2487,0.1323,0.0907,0.0997,,,,,,,,,,
28,兵庫県,28602,養父町,7254,5742,5527,0.7916,0.2488,0.1887,0.0650,0.1071,,,,,,,,,,
28,兵庫県,28603,大屋町,4829,4161,4033,0.8617,0.2338,0.2978,0.0697,0.1079,,,,,,,,,,
28,兵庫県,28604,関宮町,4081,3298,3193,0.8081,0.2449,0.1798,0.0943,0.1281,,,,,,,,,,
28,兵庫県,28621,生野町,4594,3646,3543,0.7936,0.2882,0.2605,0.0663,0.1064,,,,,,,,,,
28,兵庫県,28622,和田山町,12097,9798,9528,0.8100,0.3235,0.1480,0.0630,0.1036,,,,,,,,,,
28,兵庫県,28623,山東町,5251,4323,4190,0.8233,0.3055,0.1504,0.0597,0.0666,,,,,,,,,,
28,兵庫県,28624,朝来町,5958,4775,4628,0.8014,0.2532,0.2446,0.0631,0.0778,,,,,,,,,,
28,兵庫県,28641,柏原町,6045,4445,4357,0.7353,0.2958,0.1871,0.0638,0.1276,,,,,,,,,,
28,兵庫県,28642,氷上町,14178,10629,10344,0.7497,0.3469,0.1457,0.0633,0.1307,,,,,,,,,,
28,兵庫県,28643,青垣町,6318,4687,4579,0.7418,0.3562,0.1005,0.1133,0.1620,,,,,,,,,,
28,兵庫県,28644,春日町,9997,7132,6965,0.7134,0.3179,0.1605,0.0864,0.1410,,,,,,,,,,
28,兵庫県,28645,山南町,10727,7770,7540,0.7243,0.3366,0.1341,0.0733,0.1280,,,,,,,,,,
28,兵庫県,28646,市島町,7696,5539,5423,0.7197,0.3456,0.1827,0.0813,0.1435,,,,,,,,,,
28,兵庫県,28661,篠山町,17344,12724,12411,0.7336,0.2976,0.1786,0.0597,0.1008,,,,,,,,,,
28,兵庫県,28664,西紀町,3170,2353,2294,0.7423,0.3195,0.1574,0.0462,0.1569,,,,,,,,,,
28,兵庫県,28665,丹南町,8558,6361,6171,0.7433,0.2740,0.1664,0.0614,0.1151,,,,,,,,,,
28,兵庫県,28666,今田町,2592,1843,1792,0.7110,0.2779,0.1786,0.0463,0.1479,,,,,,,,,,
28,兵庫県,28681,津名町,13132,7093,6919,0.5401,0.5096,0.1145,0.0809,0.1461,,,,,,,,,,
28,兵庫県,28682,淡路町,6603,3939,3769,0.5965,0.3961,0.1019,0.0669,0.2666,,,,,,,,,,
28,兵庫県,28683,北淡町,9721,5116,4857,0.5263,0.4945,0.1688,0.0377,0.1684,,,,,,,,,,
28,兵庫県,28684,一宮町,8312,4968,4823,0.5977,0.5036,0.1613,0.0363,0.1561,,,,,,,,,,
28,兵庫県,28685,五色町,8284,5248,5071,0.6335,0.5324,0.1461,0.0385,0.1497,,,,,,,,,,
28,兵庫県,28686,東浦町,6460,4199,4064,0.6500,0.4936,0.1385,0.0404,0.1553,,,,,,,,,,
28,兵庫県,28701,緑町,4085,2694,2605,0.6595,0.5263,0.1167,0.0925,0.1574,,,,,,,,,,
28,兵庫県,28702,西淡町,10339,6237,6032,0.6032,0.4571,0.1033,0.0776,0.2165,,,,,,,,,,
28,兵庫県,28703,三原町,12138,7722,7434,0.6362,0.4552,0.1264,0.0588,0.1964,,,,,,,,,,
28,兵庫県,28704,南淡町,16670,11780,11263,0.7067,0.4994,0.1068,0.0479,0.1798,,,,,,,,,,
